nr;RomName78;RomName;Game;Description
1526;grchamp;grchamp;"Grand Champion (c) 1981 Taito Corp.
";A vertical driving game. Compete against other computer cars to win races.
1527;grdforce;grdforce;;
1528;grdians;grdians;"Guardians / Denjinmakai II (c) 1995 Banpresto.
";A beat-'em-up developed by Winky Soft with 8 selectable characters and lots of special moves.
1529;grdius2a;gradius2a;"Gradius 2 (c) 1987 Konami.
";"

"
1530;grdius2b;gradius2b;"Gradius II - GOFER no Yabou (c) 1988 Konami.
";"The third game in Konami's renowned Gradius series; the prequel being ""Gradius [Model GX400]"" and a spinoff called ""Salamander [Model GX587]"". Gradius II strictly adheres to the shoot-em-up template set out by its hugely successful predecessor, the game eschews the sideways/vertical scrolling alternate levels of Salamander and opts instead for Gradius sideways scrolling-only mechanic. This game is rightly considered to be one of the most demanding and difficult shoot-em-ups ever released."
1531;grdius3a;gradius3a;"Gradius III - Densetsu Kara Shinwa-e (c) 1989 Konami.
";The Vic Viper starfighter returns to battle the onslaughts of the Bacterion Empire.
1532;grdius3e;gradius3;"Gradius III (c) 1989 Konami.
";"Export version. For more information about the game itself, please see the original Japenese version entry; ""Gradius III - Densetsu Kara Shinwa-e [Model GX945]"""
1533;grdnstrm;grdnstrmk;"Jeon Sin - Guardian Storm (c) 1998 Afega.
";A vertically scrolling shoot 'em up.
1534;greatgun;greatgun;"Great Guns (c) 1983 Stern Electronics.
";Great Guns is a 1- or 2-player game presenting an attractively scenic and sharply defined series of target racks which generates competitive challenge for the players. Features a variety of target scenes (a total of 9 tantalizing scenes are possible depending on the players skill in shooting).
1535;greenber;greenber;"Green Beret (c) 1980 Irem Corp.
";"

"
1536;grescue;grescue;"Galaxy Rescue (c) 1980 Universal Company, Limited.
";"- TRIVIA -

Licensed from Taito Corp of Japan. For more information about the game itself, please see the original Taito Upright entry."
1537;gridiron;gridiron;"Gridiron Fight (c) 1985 Tehkan.
";A football game from Tehkan.
1538;gridlee;gridlee;"Gridlee (c) 1983 Videa.
";"A game where the player controls a bottle-shaped character named Gridlee who has to catch colored balls (or the crystal) for points & shoot the enemies while they are overhead. Shooting enemies also awards the player points, but more importantly, the only way to pass a level is to shoot every enemy. The player knows when the enemy is overhead by looking at his shadow on the grid. Each red ball is worth 100 points. The green ball appears after catching 3 red balls & isworth 500 points. The crystal appears after catching 3 red balls, a green ball and 3 more red balls. It is worth 1000 points and must be caught before it lands since it will not bounce, but instead disappear. The green balls bounce very high and can bounce far, making them hard to catch. The player has to avoid touching the bouncing enemies, the charged tiles that flash after enemies land on them, and the worm that moves horizontally across the tiles while charging them. There is a character named Igor that spits a sticky gum-like substance, which turns the tile it lands on pink and causes Gridlee to move slow when walking on that tile. Also, if there's one enemy left bouncing for a while as the player catches the
balls, the enemy eventually charges tile after tile, which makes it dangerous for the player as the walking space is limited."
1539;grindsta;grindstma;"Grind Stormer (c) 1992 Toaplan.
";A vertically scrolling shoot 'em up from Toaplan.
1540;grindstm;grindstm;"Grind Stormer (c) 1992 Toaplan.
";A vertically scrolling shoot 'em up from Toaplan.
1541;grndtour;grndtour;"Grand Tour (c) 1993 IGS.
";"A ""Columns"" style game where you are rewarded with pictures of beautiful women for each level you clear."
1542;grobda;grobda;"Grobda (c) 1984 Namco, Limited.
";Grobda is a tank-like game that uses an overhead view. Enemy tanks attack in waves and they must be destroyed before they do the same to you.
1543;grobda2;grobda2;"Grobda (c) 1984 Namco, Limited.
";Grobda is a tank-like game that uses an overhead view. Enemy tanks attack in waves and they must be destroyed before they do the same to you.
1544;grobda3;grobda3;"Grobda (c) 1984 Namco, Limited.
";Grobda is a tank-like game that uses an overhead view. Enemy tanks attack in waves and they must be destroyed before they do the same to you.
1545;groovef;groovef;;
1546;groundfx;groundfx;"Ground Effects (c) 1992 Taito.
";A Formula One racing game.
1547;growl;growla;"Growl (c) 1990 Taito.
";"Export version. For more information about the game itself, please see the original Japanese version entry; ""Runark""."
1548;growlu;growlu;"Growl (c) 1990 Taito.
";"Export version. For more information about the game itself, please see the original Japanese version entry; ""Runark""."
1549;grtwall;wlcc;"Wan Li Chang Cheng (c) 1996 IGS.
";"

"
1550;grudge;grudge;"Grudge Match (c) 1987 Bally Midway.
";An overhead racing game.
1551;gryzor;gryzor1;"Gryzor (c) 1987 Konami.
";"In 2631, a meteorite strikes the Galuga archipelago near New Zealand, carrying with it a dormant alien lifeform. Two years later in 2633, a terrorist organization of alien origin called Red Falcon takes over the island as part of their plot to invade the Earth. Bill Rizer and Lance Bean, of the Contra unit, are sent to the Oceania island to stop the evil threat.

Gryzor is a hectic 1 or 2-player platform shoot-em-up featuring five stages. Three of the levels are standard side-scrolling platform levels, while the remaining 2 are enemy 'bases'; 3rd person into-the-screen stages in which players must run down series of heavily defended corridors to reach and destroy an end-of-level boss, before moving onto the next stage.

Each player's character is equipped with a semi-automatic machine gun with an unlimited amount of ammunition and can jump, move and fire in all eight cardinal directions. Players can also move and jump simultaneously while firing. Co-ordination of the character's movement is essential as a single hit from any enemy, bullet, or other hazard will instantly kill the player's character and also eliminate the current weapon from the player's inventory.

As players fight their way through the enemy-packed levels, additional weapons can be collected. If the player loses a life, they will also lose any weapon power-up they were carrying. Available weapons are :
* Machine gun [M] : Auto-fire.
* Spread gun [S] : Allows the player to fire five shots in an arc.
* Laser gun [L] : Will shoot a long laser that can take out many enemies in a row.
* Fire Ball [F] : A gun which fires small fireballs in a corkscrew pattern.
* Rapid-fire [R] : Increases the firing rate of the player's currently equipped weapon.
* Barrier [B] : Will make the player invincible for a few seconds.

The game's 5 levels and bosses are as follows :
Stage 1 : Jungle – Defensive Wall – (horizontal scrolling)
Stage 2 : Base 01 – Six turrets and alien eyeball – (3rd-person)
Stage 3 : Waterfall – Large Alien – (vertical scrolling)
Stage 4 : Base 02 – Six turrets and alien head – (3rd-person)
Stage 5 : Snow Field/Energy Zone/Hangar/Alien Lair – Alien Heart – (horizontal scrolling)"
1552;gseeker;gseeker;"Grid Seeker - Project Storm Hammer (c) 1992 Taito Corp.
";It is August 1999. In the skies over the Middle East, the second Persian Gulf War has begun. The early half of the 90's, the Persian Gulf War breaks out in the Middle East and prolonged fighting rapidly increases the rate of destruction of the world's natural resources. In 1999 this develops into a state of crisis where the effects of the war have resulted in an absolute shortage of reserves. Mistaken policies have resulted in the nation of the Middle East, suffering from shortages since the time of the original Persian Gulf War, taking military action against neighboring nations in an attempt to assure a supply of resources for themselves. Those nations which have managed to escape the fighting once again form a Multinational Force. Using the technology gained from research which had been done for a new type of nuclear reactor, they succeed in developing and producing GRID - a Gyrodrive Reactive Intercept Device. This is the start of Project Storm Hammer.
1553;gseekerj;gseekerj;"Grid Seeker - Project Storm Hammer (c) 1992 Taito Corp.
";It is August 1999. In the skies over the Middle East, the second Persian Gulf War has begun. The early half of the 90's, the Persian Gulf War breaks out in the Middle East and prolonged fighting rapidly increases the rate of destruction of the world's natural resources. In 1999 this develops into a state of crisis where the effects of the war have resulted in an absolute shortage of reserves. Mistaken policies have resulted in the nation of the Middle East, suffering from shortages since the time of the original Persian Gulf War, taking military action against neighboring nations in an attempt to assure a supply of resources for themselves. Those nations which have managed to escape the fighting once again form a Multinational Force. Using the technology gained from research which had been done for a new type of nuclear reactor, they succeed in developing and producing GRID - a Gyrodrive Reactive Intercept Device. This is the start of Project Storm Hammer.
1554;gseekeru;gseekeru;"Grid Seeker - Project Storm Hammer (c) 1992 Taito Corp.
";It is August 1999. In the skies over the Middle East, the second Persian Gulf War has begun. The early half of the 90's, the Persian Gulf War breaks out in the Middle East and prolonged fighting rapidly increases the rate of destruction of the world's natural resources. In 1999 this develops into a state of crisis where the effects of the war have resulted in an absolute shortage of reserves. Mistaken policies have resulted in the nation of the Middle East, suffering from shortages since the time of the original Persian Gulf War, taking military action against neighboring nations in an attempt to assure a supply of resources for themselves. Those nations which have managed to escape the fighting once again form a Multinational Force. Using the technology gained from research which had been done for a new type of nuclear reactor, they succeed in developing and producing GRID - a Gyrodrive Reactive Intercept Device. This is the start of Project Storm Hammer.
1555;gslgr94u;gslgr94u;"Great Sluggers - Featuring 1994 Team Rosters (c) 1994 Namco.
";A Major League Baseball game from Namco.
1556;gstrik2;gstrik2j;"Grand Striker 2 (c) 1996 Human Amusement.
";A soccer game from Human with more teams to choose from and better graphics from the original.
1557;gstriker;gstriker;"Grand Striker - Human Cup (c) 1993 Human Amusement.
";A soccer game from Human.
1558;gsword;gsword2;"Great Swordsman (c) 1984 Taito Corp.
";Great Swordsman is a 1-on-1, side view, sword fighting game that spans 3 types of sword fighting : Fencing, Kendo, and gladiator-style combat.
1559;gteikob2;gteikob2;"銀河帝国の逆襲 (c) 1980 Irem.
";"(Ginga Teikoku no Gyakushuu)

The player must use the two-way joystick to direct a yellow ship left and right across the bottom of the screen, using single button to fire shots at the various types of enemies. The first stage consists of fighting a formation of Super Mosquitoes, which are worth 20 points each. The second stage, which has a dotted orange line under the ship, entails fighting a formation of Hovering Attackers which are worth 30 points each. The third stage consists of fighting a formation of Demon Flies, which are worth 40 points. Some of the Demon Flies will leave Spy Aliens when killed, which will fall down to the bottom of the screen underneath and try to stab the ship from behind. The only way to kill them (for 100 points apiece), is to destroy the Killer King when he appears. The fourth and last unique stage will see the ship fighting a formation of Rolling Fires, which are worth 50 points apiece and will also occasionally leave Spy Aliens behind when killed. After the last unique stage has been cleared, the four stage cycle will start over again."
1560;gteikokb;gteikokb;"銀河帝国の逆襲 (c) 1980 Irem.
";"(Ginga Teikoku no Gyakushuu)

The player must use the two-way joystick to direct a yellow ship left and right across the bottom of the screen, using single button to fire shots at the various types of enemies. The first stage consists of fighting a formation of Super Mosquitoes, which are worth 20 points each. The second stage, which has a dotted orange line under the ship, entails fighting a formation of Hovering Attackers which are worth 30 points each. The third stage consists of fighting a formation of Demon Flies, which are worth 40 points. Some of the Demon Flies will leave Spy Aliens when killed, which will fall down to the bottom of the screen underneath and try to stab the ship from behind. The only way to kill them (for 100 points apiece), is to destroy the Killer King when he appears. The fourth and last unique stage will see the ship fighting a formation of Rolling Fires, which are worth 50 points apiece and will also occasionally leave Spy Aliens behind when killed. After the last unique stage has been cleared, the four stage cycle will start over again."
1561;gteikoku;gteikoku;"銀河帝国の逆襲 (c) 1980 Irem.
";"(Ginga Teikoku no Gyakushuu)

The player must use the two-way joystick to direct a yellow ship left and right across the bottom of the screen, using single button to fire shots at the various types of enemies. The first stage consists of fighting a formation of Super Mosquitoes, which are worth 20 points each. The second stage, which has a dotted orange line under the ship, entails fighting a formation of Hovering Attackers which are worth 30 points each. The third stage consists of fighting a formation of Demon Flies, which are worth 40 points. Some of the Demon Flies will leave Spy Aliens when killed, which will fall down to the bottom of the screen underneath and try to stab the ship from behind. The only way to kill them (for 100 points apiece), is to destroy the Killer King when he appears. The fourth and last unique stage will see the ship fighting a formation of Rolling Fires, which are worth 50 points apiece and will also occasionally leave Spy Aliens behind when killed. After the last unique stage has been cleared, the four stage cycle will start over again."
1562;gtg;gtg;"Golden Tee Golf (c) 1990 Strata.
";"

"
1563;gtg2;gtg2;"Golden Tee Golf II (c) 1991 Strata.
";"

"
1564;gtg2j;gtg2j;"Golden Tee Golf II (c) 1991 Strata.
";"

"
1565;gtg2t;gtg2t;"Golden Tee Golf II (c) 1991 Strata.
";"

"
1566;gtmr;gtmr;"Great 1000 Miles Rally (c) 1994 Kaneko.
";A racing game featuring classic cars from Ferrari, Alfa Romeo, Mercedes Benz and more.
1567;gtmr2;gtmr2a;"Mille Miglia 2 - Great 1000 Miles Rally (c) 1995 Kaneko.
";A racing game from Kaneko.
1568;gtmre;gtmre;"Great 1000 Miles Rally (c) 1994 Kaneko.
";A racing game featuring classic cars from Ferrari, Alfa Romeo, Mercedes Benz and more.
1569;gtmrusa;gtmrusa;"Great 1000 Miles Rally (c) 1994 Kaneko.
";A racing game featuring classic cars from Ferrari, Alfa Romeo, Mercedes Benz and more.
1570;guardian;guardian;"Guardians of the 'Hood (c) 1992 Atari Games.
";Dangerous gangs own the streets, and is up to four brave street vigilantes to do some much needed clean up. Train hard at the sparring rounds and prove your skill at some enemies bosses so they might join your posse! Gather a few buddies for this wild ride! :)
1571;guiness;guiness;"The Guiness (c) 1984 Sun Electronics.
";"

"
1572;gulfstr2;gulfstrmm;"Gulf. Storm (c) 1991 Dooyong.
";A vertically scrolling shooter from Korean-based company Dooyong.
1573;gulfstrm;gulfstrm;"Gulf. Storm (c) 1991 Dooyong.
";A vertically scrolling shooter from Korean-based company Dooyong.
1574;gulfwar2;gulfwar2;"Gulf War-II (c) 1991 Comad Industry Company, Limited.
";A vertically scrolling shoot-em-up from Comad.
1575;gumbo;gumbo;"Gumbo (c) 1994 Min.
";"Gumbo is a ""Columns""-style adult puzzle game featuring nude photographic and hand drawn images as a background to the playing field.  Columns of three blocks fall from the sky and the player can move the block left or right and shift the order of the blocks column falls. The objective is to match three or more blocks of the same type in vertical, horizontal, or diagonal rows in order to clear them from the play area. As the player clears more blocks the columns begin to descend at a more rapid rate.

As time progresses entire rows of blocks are added to the bottom of the play area. Occasionally after clearing a set of blocks (and more often after setting off chains of removing blocks) the bottom row of blocks will be removed from the play area. If necessary, the player can use a help which will change all of the blocks in the currently falling column into 'P' blocks. When the column lands on the stack of blocks, whichever block it falls on will be cleared from the screen, along with all blocks that match that block.  When the bottom row is removed from play a section is added to the progress bar at the bottom of the screen. When the progress bar is filled the stage is complete.

After clearing a stage, all of the remaining blocks are momentarily removed from the board and a bonus game begins.  In the bonus game the background image is broken up and shuffled around in a sliding puzzle game.  The progress bar at the bottom of the screen counts down the time left to return the tiles to their proper place and points are awarded for any extra time left after the game is completed.  Once the bonus game is over the background image is changed, the blocks remaining from the previous stage are returned to the screen and the game continues.

If the blocks reach the top of the screen where the columns are dropped from then the game is over.  Upon continuing all of the blocks are removed from play and the columns fall at the original speed."
1576;gunbird;gunbird;"Gunbird (c) 1994 Psikyo.
";In this vertical shoot-'em-up, you have 5 selectable characters who fight the big army of pirates but this time to restore a magic mirror.
1577;gunbird2;gunbird2;"Gunbird 2 (c) 1998 Psikyo.
";In this vertical shoot'em up, you have five selectable characters who fight the big army of pirates but this time to collect elemental potions.
1578;gunbirdj;gunbirdj;"Gunbird (c) 1994 Psikyo.
";In this vertical shoot-'em-up, you have 5 selectable characters who fight the big army of pirates but this time to restore a magic mirror.
1579;gunbirdk;gunbirdk;"Gunbird (c) 1994 Psikyo.
";In this vertical shoot-'em-up, you have 5 selectable characters who fight the big army of pirates but this time to restore a magic mirror.
1580;gunbulet;gunbuletj;"Gun Bullet (c) 1994 Namco.
";"A challenging light gun game where players can select from a variety of target practice mini games.

Many games require skill and accuracy, such as shooting cardboard cutouts of criminals, a one-shot chance at hitting a leaf, aiming for a specific toy from a shelf, and shooting at objects that move across the screen or rush towards the player.

Your 'judgement' is based on your shooting accuracy in some games, and others require you to hit a certain number of targets within the given time."
1581;gunbustr;gunbustrj;"Gunbuster (c) 1992 Taito.
";A first-person shooter from Taito.
1582;gundamex;gundamex;"Mobile Suit Gundam EX Revue (c) 1994 Banpresto.
";"

"
1583;gundeala;gundealra;"Gun Dealer (c) 1990 Dooyong.
";A puzzle game where the player has to create card sequences.
1584;gundealr;gundealr;"Gun Dealer (c) 1990 Dooyong.
";A puzzle game where the player has to create card sequences.
1585;gundealt;gundealrt;"Gun Dealer (c) 1990 Tecmo, Limited.
";"- TRIVIA -

Released in October 1990."
1586;gundhara;gundhara;"Gundhara - Juudan Arashi (c) 1995 Banpresto.
";"A two players vertical top-view shoot em up.

In a near future a group of children disappeared from a town, a secret investigator woman named 'Sarah' entered secretly into the hideout of the kidnappers, to find the reasons, children were brainwashing. It was preparation for a World War III, commanded by a tyrant transhumanist to rule the world. The government opened a emergency meeting to chose two of their best soldiers, to stop this evil plan and rescue all the hostages children's.

The players choose one of two soldiers 'Jerry Scott' from USA and 'Jinn Ayakawa' from Japan and must rescue all childrens on each level, while defeat all the enemies on the way using a variety of weapons, such as the Vulcan a shotgun a laser and a bazooka also a fire may obtained by collecting items."
1587;gundl94;gundl94;"Gun Dealer '94 (c) 1994 Dooyong.
";A puzzle game from Dooyong where you have to arrange colored number-blocks so that they disappear.
1588;gunfight;gunfight;"Gun Fight (c) 1975 Midway.
";"Each player (2 people play at a time--there is no computer opponent) controls a gunfighter. Your left hand has a 4-way joystick which moves your gunfighter anywhere on your side of the screen. Your right hand has a gun grip which tilts up and down to aim your gunfighter's pistol and which has a trigger to fire. Your only goal is to shoot the other player, who is right across the screen from you; he will then fall down and say 'Got Me'. It isn't usually a straight shot, as there will always be cactuses, a moving stagecoach, or trees somewhere between the 2 players. (Another obstacle will be added for each hit scored.) Just shoot the other player for points. The game is time based, and not life based. The factory setting is for a 90-second game, but this is operator-adjustable down to as low as 60 seconds."
1589;gunforc2;gunforc2;"Gun Force II (c) 1994 Irem Corp.
";"Export release. Game developed in Japan. See the original Japanese version for more information about the game itself, ""Geo Storm"".

- TRIVIA -

Gun Force II  was released in September 1994 in the USA.

- SERIES -

1. Gun Force - Battle Fire Engulfed Terror Island (1991)
2. Gun Force II (1994)"
1590;gunforce;gunforce;"Gun Force - Battle Fire Engulfed Terror Island (c) 1991 Irem Corp.
";A 2-player co-op horizontal scroller. Players shoot other soldiers, climb into jeeps and helicopters, pick up different weapons and destroy the end-level building.
1591;gunforcj;gunforcej;"Gun Force - Battle Fire Engulfed Terror Island (c) 1991 Irem Corp.
";A 2-player co-op horizontal scroller. Players shoot other soldiers, climb into jeeps and helicopters, pick up different weapons and destroy the end-level building.
1592;gunforcu;gunforceu;"Gun Force - Battle Fire Engulfed Terror Island (c) 1991 Irem Corp.
";A 2-player co-op horizontal scroller. Players shoot other soldiers, climb into jeeps and helicopters, pick up different weapons and destroy the end-level building.
1593;gunfronj;gunfrontj;"Gun Frontier (c) 1990 Taito Corp.
";"The year is 2120: Earthlings have spread beyond their galaxy and have started to colonize uninhabited planets in different solar systems. One such planet to be colonized was the Earth-like planet Gloria which happened to have an enormous natural supply of gold. This discovery became pivotal to Gloria's emigration, so much that emigrators would be impoverished by the cost of reaching the planet. Because of this, life on the planet thrived in a setting similar to the American Old West. Though poor, the gold trade aided the Glorian's in advancing technology and knowledge, so much that among the inhabitants lived talented inventors and engineers.

However, the Glorian's were not the only ones who were tempted by the planet's gold: Space pirates known as the Wild Lizards quickly invade Gloria and decimate the towns of the people and enslave those who survived in an attempt to deplete the planet's gold supply. Two inventors of Gloria who were a part of the planet's development teams decide to strike back at their invaders using two fighter jets in the shape of giant revolvers with plane wings.

As far as vertical scrolling shooters go, Gun Frontier is very standard. Players start with dual machine guns which are strengthened and multiplied by upgrades that come in the shape of US dimes taken from buffalo shaped enemies and every five dimes empowers the ship's guns. Players also start with a bomb supply which is upgraded to further destruction by collecting gold bars from destroyed ground forces. Once a player accumulates 25 bombs, they are granted access to the Bomber Max, the strongest of the player's bombs.

The players can also pick up spinning coins with two different sides: a silver side and a gold side. If the player collects the coin on the silver side, then the player merely gains another coin for their guns. However, if the player collects the coin on the gold side, then the player's guns and bomb supply is maximized to full power.

A unique feature to the player's bombs is that the direction of the bomb's blast can be determined by the player's movement. If the player moves their plane to the lower right of the screen and launches their bombs, then the direction the bomb will travel in the opposite direction the plane's movement. This feature can only be used however when a player has a large bomb count as only having one or two bombs will result in a small directionless explosion. Like most bombs in shoot 'em ups, the bombs also work as a shield against enemy fire.

The game uses a check-point system in which a downed single player will start off at the beginning of the check-point they died at.

Gun Frontier also employs an anti-autofire mechanism where the difficulty will max out by the second stage if the player is sustaining too fast of a fire rate."
1594;gunfront;gunfront;"Gun & Frontier (c) 1991 Taito Corp.
";"Export version. For more information about the gale itself, please see the original Japanese version entry; ""Gun Frontier""."
1595;gunhohki;gunhohki;"Mahou Keibitai Ganhooki (c) 1992 Irem.
";"

"
1596;gunlock;gunlock;"Gunlock (c) 1993 Taito.
";"Export version. For more information about the game, please see the Japanese version entry, ""Rayforce""."
1597;gunnail;gunnail;"GunNail (c) 1993 NMK.
";A vertically scrolling shoot 'em up.
1598;gunsmoka;gunsmokeu;"Gun.Smoke (c) 1985 Romstar, Incorporated.
";"

"
1599;gunsmoke;gunsmoke;"Gun.Smoke (c) 1985 Capcom  Company, Limited.
";"Gun.Smoke is a vertically-scrolling shoot-em-up set in the Wild West, in which the player takes the role of a Billy; a young Sheriff charged with hunting down and killing a number of infamous 'Wanted' outlaws.

Each level is packed with gun-toting bandits and the Sheriff must shoot his way through the stage, before finally taking on the wanted outlaw 'boss' character at the end. Each outlaw wields a special weapon unique to them, such as a Winchester rifle, knives, darts or boomerangs.

Shooting the barrels that litter the levels reveals power-ups such as boots (for extra speed), rifles (for increased range) and bullets (for rapid fire). The game's 3 directional fire buttons (for firing left, right or ahead) can be combined (pressed Simultaneously) to create a total of 8 different firing directions."
1600;gunsmokj;gunsmokej;"Gun.Smoke (c) 1985 Capcom  Company, Limited.
";"Gun.Smoke is a vertically-scrolling shoot-em-up set in the Wild West, in which the player takes the role of a Billy; a young Sheriff charged with hunting down and killing a number of infamous 'Wanted' outlaws.

Each level is packed with gun-toting bandits and the Sheriff must shoot his way through the stage, before finally taking on the wanted outlaw 'boss' character at the end. Each outlaw wields a special weapon unique to them, such as a Winchester rifle, knives, darts or boomerangs.

Shooting the barrels that litter the levels reveals power-ups such as boots (for extra speed), rifles (for increased range) and bullets (for rapid fire). The game's 3 directional fire buttons (for firing left, right or ahead) can be combined (pressed Simultaneously) to create a total of 8 different firing directions."
1601;gunsmoku;gunsmokeub;"Gun.Smoke (c) 1985 Capcom  Company, Limited.
";"Gun.Smoke is a vertically-scrolling shoot-em-up set in the Wild West, in which the player takes the role of a Billy; a young Sheriff charged with hunting down and killing a number of infamous 'Wanted' outlaws.

Each level is packed with gun-toting bandits and the Sheriff must shoot his way through the stage, before finally taking on the wanted outlaw 'boss' character at the end. Each outlaw wields a special weapon unique to them, such as a Winchester rifle, knives, darts or boomerangs.

Shooting the barrels that litter the levels reveals power-ups such as boots (for extra speed), rifles (for increased range) and bullets (for rapid fire). The game's 3 directional fire buttons (for firing left, right or ahead) can be combined (pressed Simultaneously) to create a total of 8 different firing directions."
1602;gururin;gururin;"Gururin (c) 1994 Face.
";A unique and challenging puzzle game from Face. 3 people in color-coordinated clothing descend from the top and you must align any 3 of the same color vertically or horizontally. During the game you do not rotate the 3 falling people, you rotate the puzzle itself.
1603;gussun;gussun;"Gussun Oyoyo (c) 1993 Irem.
";A puzzle game from Irem.
1604;gutangtn;gutangtn;"Guttang Gottong (c) 1982 Sega.
";A puzzle game where players control a train on railroad tracks.
1605;gutsn;gutsn;"Guts'n (c) 2000 Kaneko Company, Limited.
";A puzzle game from Kaneko.
1606;guwange;guwange;"Guwange (c) 1999 Atlus Company, Limited.
";Destroy the evil army with 3 Japanese characters and the spirits that possess them in this beautiful vertical shoot-'em-up.
1607;guzzler;guzzler;"Guzzler (c) 1983 Tehkan.
";Each level is a maze of varying openness. Monsters spawn from colorful fires that must be extinguished to complete the level. The character can attack with three blasts of liquid before becoming empty. With each blast of liquid, the character moves faster and gets closer to being an empty outline with pink shoes. When empty the character is a shell of a sprite, but can move more quickly. Liquid is replenished by drinking (guzzling) from puddles. Occasionally, an alcoholic beverage will appear in the center of the screen. If the player picks up this beverage, liquid supply fills to maximum and the fires temporarily freeze.
1608;gwar;gwar;"Guerrilla War (c) 1987 SNK.
";"The country is struggling under the cruel domination of its evil King. The rebel guerilla leader and his comrades attempt to secretly land on shore. The King's military is waiting for them, however, and the players must fight their way inland to reach and destroy the King's palace stronghold.

In this, the pseudo-sequel to SNK's own superb ""Ikari Warriors"" (released two years earlier), players must once again shoot their way through a number of vertically scrolling levels, all packed with large numbers of enemy soldiers, gun emplacements and vehicles. Each level also contains a number of captured prisoners tied to wooden stakes, and these can be rescued for extra points. 

The players' weapons have only a limited amount of ammunition and additional ammo/grenades must be picked up along the way. A number of gun upgrades can also be found. At various points in the game, players can also enter unoccupied enemy tanks, which provide increased firepower as well as resistance to enemy shots. Too many enemy hits, however, will eventually see the tank explode - this is proceeded by a warning flash to allow the player to exit the tank before the explosion occurs. Should the player be caught inside or near the tank when it explodes, a life is lost.

As with ""Ikari Warriors"", Guerrilla War features full 360 degree gameplay with attacking troops appearing from all directions. The players' on-screen counterparts are able to rotate themselves accordingly."
1609;gwara;gwara;"Guerrilla War (c) 1987 SNK.
";"The country is struggling under the cruel domination of its evil King. The rebel guerilla leader and his comrades attempt to secretly land on shore. The King's military is waiting for them, however, and the players must fight their way inland to reach and destroy the King's palace stronghold.

In this, the pseudo-sequel to SNK's own superb ""Ikari Warriors"" (released two years earlier), players must once again shoot their way through a number of vertically scrolling levels, all packed with large numbers of enemy soldiers, gun emplacements and vehicles. Each level also contains a number of captured prisoners tied to wooden stakes, and these can be rescued for extra points. 

The players' weapons have only a limited amount of ammunition and additional ammo/grenades must be picked up along the way. A number of gun upgrades can also be found. At various points in the game, players can also enter unoccupied enemy tanks, which provide increased firepower as well as resistance to enemy shots. Too many enemy hits, however, will eventually see the tank explode - this is proceeded by a warning flash to allow the player to exit the tank before the explosion occurs. Should the player be caught inside or near the tank when it explodes, a life is lost.

As with ""Ikari Warriors"", Guerrilla War features full 360 degree gameplay with attacking troops appearing from all directions. The players' on-screen counterparts are able to rotate themselves accordingly."
1610;gwarb;gwarb;"Guerrilla War (c) 1987 SNK.
";"The country is struggling under the cruel domination of its evil King. The rebel guerilla leader and his comrades attempt to secretly land on shore. The King's military is waiting for them, however, and the players must fight their way inland to reach and destroy the King's palace stronghold.

In this, the pseudo-sequel to SNK's own superb ""Ikari Warriors"" (released two years earlier), players must once again shoot their way through a number of vertically scrolling levels, all packed with large numbers of enemy soldiers, gun emplacements and vehicles. Each level also contains a number of captured prisoners tied to wooden stakes, and these can be rescued for extra points. 

The players' weapons have only a limited amount of ammunition and additional ammo/grenades must be picked up along the way. A number of gun upgrades can also be found. At various points in the game, players can also enter unoccupied enemy tanks, which provide increased firepower as well as resistance to enemy shots. Too many enemy hits, however, will eventually see the tank explode - this is proceeded by a warning flash to allow the player to exit the tank before the explosion occurs. Should the player be caught inside or near the tank when it explodes, a life is lost.

As with ""Ikari Warriors"", Guerrilla War features full 360 degree gameplay with attacking troops appearing from all directions. The players' on-screen counterparts are able to rotate themselves accordingly."
1611;gwarj;gwarj;"Guevara (c) 1987 SNK.
";"The country is struggling against the cruel domination of the King. The rebel guerrilla leader and his comrades attempt to secretly land on shore. The King's military is waiting for them, however, and the players must fight their way inland to reach and attack the enemy fortress.

In this, the pseudo-sequel to SNK's own superb ""Ikari Warriors"" (released 2 years earlier), players must once again shoot their way through a number of vertically scrolling levels, all packed with hoards of enemy soldiers, gun emplacements and vehicles. Each level also contains a number of captured prisoners tied to wooden stakes, and these can be rescued for extra points.

The players' munitions are deletable, and additional ammo/grenades must be picked up along the way; a number of gun upgrades can also be found. At various points in the game, players can also enter unoccupied enemy tanks, which provide increased firepower as well as resistance to enemy shots. Too many enemy hits, however, will eventually see the tank explode - this is proceeded by a warning flash to allow the player to leave the tank before the explosion takes place. Should the player be caught inside or near the tank when it explodes, a life is lost.

As with ""Ikari Warriors"", Guevara features full 360 degree gameplay with attacking troops appearing from all directions. The players' on-screen counterparts are able to rotate themselves accordingly."
1612;gwarrior;gwarrior;"Galactic Warriors (c) 1985 Konami.
";An early fighter where 3 selectable robots do battle against various space enemies.
